"","Temp1","BT5","CD3","CR9","SK5","WM0","BT6","WM6","RI2","TH4","GR5","GN3","GR9","WAA","BX2","BL0","HF4","HV1","CT8","SK6","WA9","BX1","IM1","ME2","KT3","GN0","ST8","RB4","LB5","GN4","MY1","EA6","EI1","LB4","RB7","KT4","BG1","NB1","HG1","GB0","ST3","HR1","CR8","EN7","GR4","CR5","LW2","BT4","ST4","WA7","ST6","TD5","KC3","TD0","BG2","ST5","BQ5","GN2","KC1","WAB","IS6","CT6","GR7","IS2","HI0","TH5","KC4","CT4","CD9","TH2","CD1","LW4","LW3","ME7","BQ7","CT2","WA8","EN5","HR2","GB6","RI1","EN1","KC2","CR7","KC5","LW1","CT3","HG4","KC7","BQ8","BX0","GR8","WA2","EA8","EI8","WM8","TH6","BX9","EN4","ME1","BQ6","HK6","HV3","MY7","LH0","LB6"
"1",3,45720.427574129,33220.3823583702,20527.0416926084,25612.714277458,31861.1429851129,44588.3210940924,35004.1955401532,39033.6540146874,26620.8298162274,22995.4472331352,22341.0720706191,18958.9375903853,31451.8573985008,24702.0147109427,33714.0289950865,40303.7937813002,30060.2202468662,30013.2019024324,25715.1135592053,37006.5066292113,23669.2840869298,32894.4427173377,32063.5751805803,43213.5733144841,22541.3623396257,24928.7261688563,32367.3013080707,30556.6809139755,18954.9713556514,35834.6692706902,48112.1705217742,45201.7381940712,28093.8857373646,31329.4677499533,39880.9314730162,33018.2532042927,32188.0482496354,37751.039033437,18825.6497134795,27208.1745109536,54621.1125417781,25482.1883036269,43499.1646245025,18308.7096960865,25149.741169216,23935.7539702168,46500.4171057457,25270.7855793957,36916.1913930662,35487.958603793,48143.4278920835,34771.769728971,47390.3926624367,27809.8292805455,25725.0159901111,24969.8350919574,23414.8185943085,40470.2055393686,30279.7809319621,35695.237049546,30372.1661586229,22344.8412476403,36020.9075587113,62851.2642496539,30226.6304572397,34246.0921854857,31541.9159430776,34405.4201185633,28775.0630669205,39160.2943895918,21719.1430217567,24865.4264420644,28316.446862215,24154.5721909014,31575.715478045,36935.1559545397,42066.4626229169,58168.4951176404,18825.6497134795,39918.4315084205,42391.5624983063,35704.9789684262,22070.8750955024,36363.6140346262,20024.6113131862,29823.3342239662,39238.6510918147,40467.6409260329,24154.5721909014,24702.0147109427,22794.5751390216,34218.3679980821,44913.2951193758,44913.2951193758,32863.0772179612,24080.6152782841,23669.2840869298,38651.545733985,31728.3472213391,24864.5212209769,31431.3695589413,34021.8897517178,35834.6692706902,60568.9033561769,27005.5604585775
"2",5,43810.6327313116,31631.3274494355,18325.9220015704,24303.8760410564,30157.0642049265,42635.0913576019,33285.2845454489,36921.8674597557,25916.0237380388,22282.8053119994,22799.7503426287,18709.1034857097,29633.2427228901,25814.0418952537,32159.0718005109,38302.2035720032,31394.0640681979,28632.9291741972,23932.0067666081,34889.2575337268,25119.336139862,31349.3952777473,29819.8003053975,40833.0389274666,22738.8257389182,22667.3288059531,32127.1342295062,28847.9778634609,18705.3625570611,34142.3152186461,46038.8431982701,43162.9920974526,26332.6539328591,31534.7879262865,37446.9343337341,34008.844287661,30639.4086933939,36802.2460460266,19234.6190049445,24825.6675699578,52766.8294830666,23377.9554984581,42974.6301508625,18507.6783504523,23068.2847223465,22774.8879517736,44565.9059188572,22884.8285897904,34793.1883496986,33074.4029719556,45754.6143643934,32944.5001310943,44999.326484266,28546.2742664245,23477.9402204056,26374.8604773722,22931.4418658756,38556.9751345724,28147.0053220707,34380.8217887788,28967.846623885,21453.4173269682,34645.536932209,60510.8708912995,29370.5376317743,32355.1708179623,30150.0232358023,32855.6373234001,27787.9359497084,37463.0580864383,20752.4607400148,23678.6573225677,26041.1119040779,25018.543264222,30108.2254435429,34813.1359440946,40828.8310077725,56114.6404623299,19234.6190049445,37804.9653254516,41559.82980754,33809.3763021682,19750.0314510683,34407.2505740616,18912.600681041,28527.1832806351,37910.2808288701,38554.6138259862,25018.543264222,25814.0418952537,22300.9254332528,32132.3584990498,42860.3543871273,42860.3543871273,31119.8109295686,23246.9414869576,25119.336139862,37852.903724626,29425.3533606311,26251.4962564833,30137.3938631421,34992.877624359,34142.3152186461,58228.8338911249,24979.5915865568
"3",6,46732.5468675162,34044.2807760533,21758.4432901593,26286.0242906833,32758.614839347,45629.5878959368,35905.7963576946,40183.7840633151,26930.4902256618,23326.5305462182,21979.8032862788,19043.6613620745,32421.3841266376,23939.9280887187,34516.0205525989,41379.9974674541,29152.6994642363,30716.3847860711,26674.3825005015,38161.8327224338,22711.3160004886,33691.8501154523,33308.4977616338,44552.7757540842,22334.9259417555,26192.6434511401,32380.8327495657,31459.4459822238,19039.594771448,36718.4621046667,49230.9131002266,46298.9883786262,29034.13599245,31081.5471867225,41264.2476902074,32303.564347927,32989.029967986,38176.1048620612,18518.3101441791,28555.4168705671,55591.5271377107,26642.3431748743,43658.919363171,18131.8645448914,26295.9295124124,24527.5297098875,47528.1125488676,26621.9063451839,38075.4340009033,36855.5462320125,49488.0191901083,35741.7875525685,48736.9324446065,27258.8482037677,26978.3355110594,24034.1307070856,23607.9800701349,41488.8017773048,31451.8212213119,36346.1443968154,31089.0487854052,22785.0077842583,36708.4989280497,64155.4337306658,30613.9575217652,35257.1465947576,32248.5149942928,35203.0024526161,29245.2896412971,40042.7689729045,22207.1095276394,25468.7436720014,29586.2948813456,23542.0977394613,32328.2953114541,38093.7263059741,42660.2209271359,59269.7043375113,18518.3101441791,41069.0596378736,42737.9310963598,36717.208298191,23378.7078220535,37414.0914527775,20607.9036538034,30476.1264875865,39892.1668215625,41486.1081877486,23542.0977394613,23939.9280887187,22997.228054502,35355.4573921915,46020.1777177795,46020.1777177795,33783.2053494684,24477.8439569176,22711.3160004886,38984.3364199208,33014.8748157231,23939.7238722302,32078.8011358127,33316.4740342929,36718.4621046667,61873.186209964,28113.2272759444
"4",19,47492.7892585587,34634.3521693897,22759.1929694302,26749.282572835,33419.9462293779,46419.1368302135,36567.4134020606,41085.0561604689,27060.815052607,23486.8403504876,21526.6556951658,19000.9323364951,33151.920943937,23131.2557805944,35084.8620328884,42206.6286629743,28212.7379707054,31198.4366133847,27403.5017221349,39069.5970732487,21739.153337207,34257.4380497365,34310.9392563543,45651.3980812242,22017.7611109696,27220.5793152405,32233.4591172338,32127.515687041,18996.7972050168,37362.2503108334,50095.9949456101,47143.8146975002,29741.3128909141,30704.948442003,42414.0954954726,31521.2127284151,33558.9197747981,38391.0989135818,18127.9702046773,29669.5264570603,56306.6311884063,27565.4430196805,43627.3008511045,17860.1381100881,27205.7261015807,24920.5566004766,48303.2517674082,27741.532552812,38987.2057535002,37988.5339795274,50591.4977703105,36469.1891482304,49842.7769459631,26625.0263206616,27994.616123211,23078.1861721848,23643.2074706779,42258.6351521855,32381.541916801,36771.4597555141,31583.2060625423,23045.7080957537,37167.5057878576,65211.115430326,30806.3775803614,36024.7123191135,32731.2738681719,35766.8494465814,29515.9343538405,40682.1551618734,22513.1093938982,25869.7830360879,30617.3133837223,22863.603076218,32853.7880673508,39004.8076732971,43025.6305174022,60113.5040345106,18127.9702046773,41970.3229561849,42876.0123684885,37484.5670026885,24455.0232020969,38218.2117213968,21006.2971247017,30911.9288843696,40315.862395405,42255.8171823697,22863.603076218,23131.2557805944,23043.1055386034,36246.9109787604,46874.7913878233,46874.7913878233,34464.8613106581,24694.2023184664,21739.153337207,39114.2550115082,34061.0092348924,22993.0716569722,32506.9442842112,32540.7229230342,37362.2503108334,62929.3581185411,28982.8569358138
"5",28,29741.0574223722,23977.1930777362,10320.3272611061,22529.4808946563,21605.987006506,28155.9256288783,23591.422911744,21076.8275420706,28767.1545686699,26527.6065888058,34532.0228798856,27686.1632519372,19809.1863183411,40623.3003401302,24739.7971122798,23804.3938312039,46772.7696855333,24303.0933458853,17186.8839567248,19328.8263984788,41838.7127606999,24290.0865500853,13332.8681280451,20432.228545912,32939.871095959,9322.40828481887,36871.5701975948,20714.4533564784,27685.4685538159,24548.2127352099,29629.5679437823,27496.8509065451,18610.413473047,39674.3086899694,16341.0235424012,46998.4192545341,23766.9991081759,34475.3748434768,31724.1235483562,7137.88267544802,38503.7044602827,12419.3061386966,43403.9535804281,30125.113381419,12690.0561984574,23131.2016197434,30094.7211888192,6341.7547334746,19163.1294672516,12621.4865387025,25042.3969991422,21964.1880030941,24278.6403856356,40719.8367381682,9839.57749327242,42705.9106605477,28586.9838483639,25207.4736362974,14223.2056746825,28986.7924692221,24262.102337423,24718.8830382527,28539.2116077889,40083.4720736427,29795.7694373127,20688.5930922392,25165.9253386383,25294.2602463525,27572.6646299771,27048.761270332,23791.1558758994,23353.5547880828,10331.0290502091,38575.1291623978,24321.3373425321,19194.303856728,34875.2943902678,39270.5656582108,31724.1235483562,21794.6732636087,39444.1614880769,21690.4069708899,7911.51360848451,21307.0189523369,21885.8181489581,25102.5736450204,31564.432679071,25208.2040485368,38575.1291623978,40623.3003401302,28135.816568375,17687.7813772833,27038.1736750991,27038.1736750991,21761.0923150643,26127.2710695069,41838.7127606999,36704.6930441009,11890.7713021605,42500.2412002876,26178.5356184473,47743.5364417458,24548.2127352099,37846.4473411818,14290.9569821486
"6",30,40247.4211309025,28438.0970313491,14562.9943159093,21518.9061995747,26837.6824571723,39033.8852982469,29937.4843216154,33197.2351935115,23950.6272007489,20369.3269201462,22634.1662539028,17581.7173899204,26190.0995093621,26608.9792569103,29003.6838319551,34663.7717027663,32475.3891420833,25714.1317396726,20555.1229219076,31162.3997321817,26473.5026434758,28209.7582387765,26018.0162682451,36999.2280284324,22175.4589197444,18861.3663871602,30755.9915724276,25529.2412407595,17578.444529309,30821.0132949588,42336.1538059427,39489.0240636146,22966.8456441503,30834.4233608635,33633.1976194444,34503.2443148648,27499.1221068149,34393.0735440952,19092.0922243416,20991.5634198465,49246.0052877684,19678.2858427145,41111.389509097,18069.7551865995,19388.8426096596,20212.1490644876,40979.3284771598,19051.081745764,31062.2674531782,29249.1959417005,41922.3002274859,29481.899776198,41167.4650475653,28704.1577181856,19678.6180645632,27636.0563733641,21341.4673863264,34997.7209574872,24416.1825796323,31509.1776123719,26016.024033711,19296.9067034377,31696.3163791499,56676.4098441884,27147.8964530178,28829.5959522748,27205.809394066,29703.1865750032,25400.7246517818,34126.4756346978,18501.692919276,21067.1151605537,22226.7433571604,25434.7886684067,27069.8434765566,31082.9027719073,38024.0973440972,52421.4362278456,19092.0922243416,34078.42684138,39281.517628952,30275.8168632342,15922.1988368757,30814.7556128896,16492.9632197692,25717.7355317541,35004.3383757863,34995.5543875062,25434.7886684067,26608.9792569103,20709.2694035739,28432.0544603888,39175.4089156202,39175.4089156202,27752.8521538943,21139.6018529774,26473.5026434758,35640.4785178771,25599.9202148189,27484.802926612,27318.3194576028,35446.213016581,30821.0132949588,54394.4251192851,21344.4381525832
"7",33,44807.3587847233,32131.6490215396,19907.4874860042,24412.3315078284,30835.3659600249,43707.0913506831,33982.3266018988,38286.6405134508,25240.0316547277,21620.9079417008,20884.7548988079,17514.785509946,30494.8737494041,23360.3819769563,32607.8449708929,39463.0078287981,28792.9952366362,28833.9216514473,24747.8529091502,36266.872534358,22442.7191840541,31784.5669274092,31460.0209548618,42783.5942729762,21073.73552325,24361.0194801989,30914.815559149,29535.6363452183,17510.7990289272,34796.893102092,47323.0586503356,44385.9920042734,27107.9616164309,29862.5665575291,39555.5003450227,31650.2464531093,31080.8862181056,36418.6323365786,17364.3458489478,26803.2845605849,53665.0022959732,24752.0474917714,42076.823329209,16840.8940876357,24400.4258747792,22684.3832398264,45604.1358705164,24876.2562909454,36181.9552658921,35125.331746475,47723.8634587716,33815.2676506011,46975.2848718872,26388.9786094566,25138.4744261597,23726.1365549243,21996.9279704894,39564.2166111603,29564.8933225609,34482.6644003798,29202.4135978548,21014.6121175091,34832.158796993,62346.7788855743,28876.5277499145,33332.2045558767,30365.2716746321,33295.8594301907,27461.2643476876,38121.5310123691,20411.1476495182,23621.1665046178,27757.2499207156,22754.1124563957,30431.7037151465,36199.9897832494,40820.3004523572,57356.9152020856,17364.3458489478,39171.9715820491,41027.6239520401,34792.2966211043,21587.4115178655,35493.1878003102,18766.5005321674,28610.8151103068,38028.2498447774,39561.5128090192,22754.1124563957,23360.3819769563,21378.9844815172,33454.6199862656,44109.4822597807,44109.4822597807,31858.1792236027,22732.5109109222,22442.7191840541,37281.9466841689,31197.7119792294,23613.6998929534,30215.8185411552,32649.6859003907,34796.893102092,60064.9084349968,26205.075527142
"8",40,42812.6048300121,30474.4926378384,17545.0792878113,23050.3814567261,29048.293443439,41663.4063739158,32184.5775878423,36062.621340276,24559.6102669271,20925.6852429938,21511.2763366403,17342.0849004993,28580.5111399584,24696.0149291341,30989.345838897,37361.441524176,30351.6332738628,27402.5901423795,22857.9493311222,34034.2619328153,24139.3771366664,30175.6097420123,29082.4940551299,40269.6503628491,21407.8847110524,21949.960174214,30758.1486005172,27740.7169517364,17338.3542321243,33029.8208604119,45150.3439986599,42248.7883435934,25249.071010149,30199.1985989833,36981.0771710984,32839.5725174898,29466.6374800529,35478.3618125088,17942.4574470009,24270.2322331881,51738.4832683674,22510.4697096234,41609.1618551227,17181.9691923591,22182.442997949,21484.0931711735,43582.8834175851,22336.1833068256,33942.9311739717,32569.6405205548,45203.7673853908,31897.5692021649,44452.2993994242,27311.8208748553,22744.6216831849,25371.6912699137,21562.376431035,37560.0302348033,27304.1947305019,33134.1372703704,27745.0234097659,20114.8998940052,33416.4314810842,59886.8851093055,28031.2570972043,31343.5259961332,28923.9818027746,31684.2597955624,26467.0931810042,36353.8147449942,19424.1542837869,22394.30488546,25339.1555412045,23823.1196892998,28906.4020628179,33962.0660972409,39564.0832779317,55212.4486979697,17942.4574470009,36947.1689711653,40220.4959298268,32800.8827893172,19106.3595142372,33435.9945878836,17608.1084332123,27272.9181840161,36668.6774107672,37557.547077722,23823.1196892998,24696.0149291341,20932.0280069126,31252.0009698856,41956.3925947563,41956.3925947563,30029.7489084649,21902.3120072443,24139.3771366664,36508.9008161618,28755.9678920774,25240.6339221245,28883.3653703258,33816.674130185,33029.8208604119,57604.5370584156,24052.6879201759
"9",41,41716.2410337763,29496.8870724697,16361.6391393469,22195.8870244833,28026.7214533952,40552.9755880753,31156.5577006764,34904.8316119347,23979.434552402,20352.9773989974,21523.3755413057,17018.7929512349,27516.7092655241,25029.8237354361,30025.0089838622,36235.8181548459,30781.3182516714,26512.3309564935,21808.6145642904,32874.8548979759,24654.4019754694,29215.6188657045,27892.2564546552,39061.3722914329,21286.9097169882,20755.1224567813,30385.8727790832,26717.8187945431,17015.20417818,32011.5416729719,44003.6400741967,41112.0224864873,24207.1520958533,30047.6688983302,35773.504002336,33081.2107080221,28505.5719386666,34768.0298987487,17953.8312279052,23061.4631208557,50660.281620338,21353.4266111186,41085.487433131,17091.0475191804,21031.903501356,20698.5972818232,42478.4369454481,21127.2987880472,32781.9678820513,31360.9249545208,43995.1948251735,30830.1726083214,43243.6362076518,27439.3798657142,21552.7002414201,25857.2349192864,21099.1273517282,36462.7174831877,26139.9851543476,32267.1481641077,26844.3391144014,19459.0150763811,32523.8028971536,58682.5830969772,27372.7534292814,30254.053342257,28027.5565818892,30721.6632968541,25751.2316612036,35332.9399054976,18734.6933889092,21595.2411277882,24142.4241665142,24031.8091631447,27978.6086937649,32801.3679891241,38725.4643807022,54071.5228422858,17953.8312279052,35788.9769282114,39558.0986321221,31709.7167701924,17901.724057725,32324.6742453395,16855.8005389168,26418.6993560523,35793.6905376097,36460.3017797165,24031.8091631447,25029.8237354361,20466.3299186075,30101.0590103207,40815.4546220049,40815.4546220049,28993.1895835844,21268.3059751828,24654.4019754694,35864.9926476706,27555.1854597837,25717.1291153337,28028.4746088448,34045.5784713278,32011.5416729719,56400.2233348791,22919.1164377041
"10",52,31468.6538882069,23095.5439496036,7238.62439154195,19674.6144819795,20864.0426924245,29999.2415713222,23407.9253864105,23251.6813338891,25220.6713884982,22527.8978169198,29583.6901451247,22882.0695982391,19393.6311694928,35378.8744568708,23829.39725095,25507.419865389,41529.1977829851,22361.8578310094,15300.4642731612,21296.9996051489,36380.1982765934,23227.8472123758,15386.6331499864,24820.7856492866,28174.7581746699,9011.5255779233,33275.4514968022,19744.4550688139,22880.8515173922,24386.5216233577,32293.9111759835,29803.4529070462,17273.6837889078,35477.8634019834,21101.7831882164,42106.6288050777,22604.5876068119,32518.999250743,26584.4598678382,9267.70276106403,40494.3862712434,11510.4394781373,41010.018605212,25045.5378514226,11552.9142457142,19758.2295712939,31988.3035053505,7470.83096636357,21154.9900648661,16916.0302477546,29643.5476545895,22160.407727228,28878.9175100175,35852.5842500792,9832.02545557702,37300.3571394067,24430.3042519764,26500.3887410302,15045.8888181687,27671.4602305716,22434.2988183722,20792.4495801667,27422.6119822849,44618.7708954414,26892.8606396306,21069.6894546922,23491.7981455259,24467.3947621216,24699.9126251542,27312.3666101653,19834.3569484266,20179.8931732717,11637.3992700825,33463.1253811891,22841.5730023132,21182.5569888111,33982.6657739556,42259.8159764817,26584.4598678382,24071.2194118827,37601.9549343678,22318.0195974047,6080.01037907896,22311.7947343992,17752.9093453409,22948.6524606368,30665.0609147954,26499.9223955369,33463.1253811891,35378.8744568708,23916.9674315351,19051.944038332,29397.6400732881,29397.6400732881,21327.9873664058,22398.1191287615,36380.1982765934,34514.8477660039,14414.792934472,37102.1411039635,24260.4056062299,42899.7346059475,24386.5216233577,42350.7590727879,13589.8357635625
